name,school_type,address,campus_kind
정읍고등학교,일반고등학교,전북특별자치도 정읍시 정읍사로 594,-
정읍제일고등학교,특성화고등학교,전북특별자치도 정읍시 충정로 252,-
정읍여자고등학교,일반고등학교,전북특별자치도 정읍시 충정로 56-11,-
정주고등학교,일반고등학교,전북특별자치도 정읍시 정주1길 42,-
전북자동차고등학교,특성화고등학교,전북특별자치도 부안군 줄포면 우포로 10,-
진경여자고등학교,특성화고등학교,전북특별자치도 익산시 황등서로 40-92,-
한국기술부사관고등학교,특성화고등학교,전북특별자치도 진안군 진안읍 상역로 96,-
진안제일고등학교,일반고등학교,전북특별자치도 진안군 진안읍 대광3길 25-5,-
칠보고등학교,특성화고등학교,전북특별자치도 정읍시 칠보면 건흥길 26-5,-
태인고등학교,일반고등학교,전북특별자치도 정읍시 태인면 석지로 1469,-
푸른꿈고등학교,특성화고등학교,전북특별자치도 무주군 안성면 진성로 2312-9,-
글로벌학산고등학교,특성화고등학교,전북특별자치도 정읍시 학산로 89,-
한국전통문화고등학교,일반고등학교,전북특별자치도 전주시 완산구 중인1길 68-13,-
한국경마축산고등학교,특수목적고등학교,전북특별자치도 남원시 운봉읍 황산로 952,-
한별고등학교,일반고등학교,전북특별자치도 완주군 삼례읍 충혼안길 20,-
함열고등학교,일반고등학교,전북특별자치도 익산시 함열읍 와리3길 19-3,-
함열여자고등학교,일반고등학교,전북특별자치도 익산시 익산대로 1852,-
해리고등학교,일반고등학교,전북특별자치도 고창군 해리면 해리중앙로 146,-
호남고등학교,일반고등학교,전북특별자치도 정읍시 정읍남로 1364-13,-
호남제일고등학교,일반고등학교,전북특별자치도 전주시 완산구 서원로 53,-
전주제일고등학교,일반고등학교,전북특별자치도 전주시 완산구 관선5길 15,-
한국마사고등학교,일반고등학교,전북특별자치도 장수군 장계면 명덕길 14,-
한국게임과학고등학교,특성화고등학교,전북특별자치도 완주군 운주면 대둔산로 1336,-
